location_key,country_code,subregion1_code,subregion2_code
AD,AD,,
AE,AE,,
AF,AF,,
AF_BAL,AF,BAL,
AF_BAM,AF,BAM,
AF_BDG,AF,BDG,
AF_BDS,AF,BDS,
AF_BGL,AF,BGL,
AF_DAY,AF,DAY,
AF_FRA,AF,FRA,
AF_FYB,AF,FYB,
AF_GHA,AF,GHA,
AF_GHO,AF,GHO,
AF_HEL,AF,HEL,
AF_HER,AF,HER,
AF_JOW,AF,JOW,
AF_KAB,AF,KAB,
AF_KAN,AF,KAN,
AF_KAP,AF,KAP,
AF_KDZ,AF,KDZ,
AF_KHO,AF,KHO,
AF_KNR,AF,KNR,
AF_LAG,AF,LAG,
AF_LOG,AF,LOG,
AF_NAN,AF,NAN,
AF_NIM,AF,NIM,
AF_NUR,AF,NUR,
AF_PAN,AF,PAN,
AF_PAR,AF,PAR,
AF_PIA,AF,PIA,
AF_PKA,AF,PKA,
AF_SAM,AF,SAM,
AF_SAR,AF,SAR,
AF_TAK,AF,TAK,
AF_URU,AF,URU,
AF_WAR,AF,WAR,
AF_ZAB,AF,ZAB,
AG,AG,,
AI,AI,,
AL,AL,,
AM,AM,,
AN,AN,,
AO,AO,,
AQ,AQ,,
AR,AR,,
AR_A,AR,A,
AR_A_007,AR,A,007
AR_A_014,AR,A,014
AR_A_021,AR,A,021
AR_A_028,AR,A,028
AR_A_035,AR,A,035
AR_A_042,AR,A,042
AR_A_049,AR,A,049
AR_A_056,AR,A,056
AR_A_070,AR,A,070
AR_A_077,AR,A,077
AR_A_098,AR,A,098
AR_A_105,AR,A,105
AR_A_112,AR,A,112
AR_A_119,AR,A,119
AR_A_126,AR,A,126
AR_A_133,AR,A,133
AR_A_140,AR,A,140
AR_A_147,AR,A,147
AR_A_154,AR,A,154
AR_A_161,AR,A,161
AR_B,AR,B,
AR_B_007,AR,B,007
AR_B_014,AR,B,014
AR_B_021,AR,B,021
AR_B_028,AR,B,028
AR_B_035,AR,B,035
AR_B_042,AR,B,042
AR_B_049,AR,B,049
AR_B_056,AR,B,056
AR_B_063,AR,B,063
AR_B_070,AR,B,070
AR_B_077,AR,B,077
AR_B_084,AR,B,084
AR_B_091,AR,B,091
AR_B_098,AR,B,098
AR_B_105,AR,B,105
AR_B_112,AR,B,112
AR_B_119,AR,B,119
AR_B_126,AR,B,126
AR_B_134,AR,B,134
AR_B_140,AR,B,140
AR_B_147,AR,B,147
AR_B_154,AR,B,154
AR_B_161,AR,B,161
AR_B_168,AR,B,168
AR_B_175,AR,B,175
AR_B_182,AR,B,182
AR_B_189,AR,B,189
AR_B_196,AR,B,196
AR_B_203,AR,B,203
AR_B_210,AR,B,210
AR_B_217,AR,B,217
AR_B_224,AR,B,224
AR_B_231,AR,B,231
AR_B_238,AR,B,238
AR_B_245,AR,B,245
AR_B_252,AR,B,252
AR_B_260,AR,B,260
AR_B_266,AR,B,266
AR_B_270,AR,B,270
AR_B_274,AR,B,274
AR_B_277,AR,B,277
AR_B_280,AR,B,280
AR_B_287,AR,B,287
AR_B_294,AR,B,294
AR_B_301,AR,B,301
AR_B_308,AR,B,308
AR_B_315,AR,B,315
AR_B_322,AR,B,322
AR_B_329,AR,B,329
AR_B_336,AR,B,336
AR_B_343,AR,B,343
AR_B_351,AR,B,351
AR_B_357,AR,B,357
AR_B_364,AR,B,364
AR_B_371,AR,B,371
AR_B_385,AR,B,385
AR_B_392,AR,B,392
AR_B_399,AR,B,399
AR_B_406,AR,B,406
AR_B_408,AR,B,408
AR_B_410,AR,B,410
AR_B_412,AR,B,412
AR_B_413,AR,B,413
AR_B_420,AR,B,420
AR_B_427,AR,B,427
AR_B_434,AR,B,434
AR_B_441,AR,B,441
AR_B_448,AR,B,448
AR_B_455,AR,B,455
AR_B_462,AR,B,462
AR_B_469,AR,B,469
AR_B_476,AR,B,476
AR_B_483,AR,B,483
AR_B_490,AR,B,490
AR_B_497,AR,B,497
AR_B_505,AR,B,505
AR_B_511,AR,B,511
AR_B_515,AR,B,515
AR_B_518,AR,B,518
AR_B_525,AR,B,525
AR_B_532,AR,B,532
AR_B_539,AR,B,539
AR_B_547,AR,B,547
AR_B_553,AR,B,553
AR_B_560,AR,B,560
AR_B_568,AR,B,568
AR_B_574,AR,B,574
AR_B_581,AR,B,581
AR_B_588,AR,B,588
AR_B_595,AR,B,595
AR_B_602,AR,B,602
AR_B_609,AR,B,609
AR_B_616,AR,B,616
AR_B_623,AR,B,623
AR_B_630,AR,B,630
AR_B_638,AR,B,638
AR_B_644,AR,B,644
AR_B_648,AR,B,648
AR_B_651,AR,B,651
AR_B_655,AR,B,655
AR_B_658,AR,B,658
AR_B_665,AR,B,665
AR_B_672,AR,B,672
AR_B_679,AR,B,679
AR_B_686,AR,B,686
AR_B_693,AR,B,693
AR_B_700,AR,B,700
AR_B_707,AR,B,707
AR_B_714,AR,B,714
AR_B_721,AR,B,721
AR_B_728,AR,B,728
AR_B_735,AR,B,735
AR_B_742,AR,B,742
AR_B_749,AR,B,749
AR_B_756,AR,B,756
AR_B_760,AR,B,760
AR_B_763,AR,B,763
AR_B_770,AR,B,770
AR_B_778,AR,B,778
AR_B_784,AR,B,784
AR_B_791,AR,B,791
AR_B_798,AR,B,798
AR_B_805,AR,B,805
AR_B_812,AR,B,812
AR_B_819,AR,B,819
AR_B_826,AR,B,826
AR_B_833,AR,B,833
AR_B_840,AR,B,840
AR_B_847,AR,B,847
AR_B_854,AR,B,854
AR_B_861,AR,B,861
AR_B_868,AR,B,868
AR_B_875,AR,B,875
AR_B_882,AR,B,882
AR_C,AR,C,
AR_C_001,AR,C,001
AR_C_002,AR,C,002
AR_C_003,AR,C,003
AR_C_004,AR,C,004
AR_C_005,AR,C,005
AR_C_006,AR,C,006
AR_C_007,AR,C,007
AR_C_008,AR,C,008
AR_C_009,AR,C,009
AR_C_010,AR,C,010
AR_C_011,AR,C,011
AR_C_012,AR,C,012
AR_C_013,AR,C,013
AR_C_014,AR,C,014
AR_C_015,AR,C,015
AR_D,AR,D,
AR_D_007,AR,D,007
AR_D_014,AR,D,014
AR_D_021,AR,D,021
AR_D_028,AR,D,028
AR_D_035,AR,D,035
AR_D_042,AR,D,042
AR_D_049,AR,D,049
AR_D_056,AR,D,056
AR_D_063,AR,D,063
AR_E,AR,E,
AR_E_008,AR,E,008
AR_E_015,AR,E,015
AR_E_021,AR,E,021
AR_E_028,AR,E,028
AR_E_035,AR,E,035
AR_E_042,AR,E,042
AR_E_049,AR,E,049
AR_E_056,AR,E,056
AR_E_063,AR,E,063
AR_E_070,AR,E,070
AR_E_077,AR,E,077
AR_E_084,AR,E,084subregions
AR_E_088,AR,E,088
AR_E_091,AR,E,091
AR_E_098,AR,E,098
AR_E_105,AR,E,105
AR_E_113,AR,E,113
AR_F,AR,F,
AR_F_007,AR,F,007
AR_F_014,AR,F,014
AR_F_021,AR,F,021
AR_F_028,AR,F,028
AR_F_035,AR,F,035
AR_F_042,AR,F,042
AR_F_049,AR,F,049
AR_F_056,AR,F,056
AR_F_063,AR,F,063
AR_F_070,AR,F,070
AR_F_077,AR,F,077
AR_F_084,AR,F,084
AR_F_091,AR,F,091
AR_F_098,AR,F,098
AR_F_105,AR,F,105
AR_F_112,AR,F,112
AR_F_119,AR,F,119
AR_F_126,AR,F,126
AR_G,AR,G,
AR_G_007,AR,G,007
AR_G_014,AR,G,014
AR_G_021,AR,G,021
AR_G_028,AR,G,028
AR_G_035,AR,G,035
AR_G_042,AR,G,042
AR_G_049,AR,G,049
AR_G_056,AR,G,056
AR_G_063,AR,G,063
AR_G_070,AR,G,070
AR_G_077,AR,G,077
AR_G_084,AR,G,084
AR_G_091,AR,G,091
AR_G_098,AR,G,098
AR_G_105,AR,G,105
AR_G_112,AR,G,112
AR_G_119,AR,G,119
AR_G_126,AR,G,126
AR_G_133,AR,G,133
AR_G_140,AR,G,140
AR_G_147,AR,G,147
AR_G_154,AR,G,154
AR_G_161,AR,G,161
AR_G_168,AR,G,168
AR_G_175,AR,G,175
AR_G_182,AR,G,182
AR_G_189,AR,G,189
AR_H,AR,H,
AR_H_007,AR,H,007
AR_H_014,AR,H,014
AR_H_021,AR,H,021
AR_H_028,AR,H,028
AR_H_036,AR,H,036
AR_H_039,AR,H,039
AR_H_043,AR,H,043
AR_H_049,AR,H,049
AR_H_056,AR,H,056
AR_H_063,AR,H,063
AR_H_070,AR,H,070
AR_H_077,AR,H,077
AR_H_084,AR,H,084
AR_H_091,AR,H,091
AR_H_098,AR,H,098
AR_H_105,AR,H,105
AR_H_112,AR,H,112
AR_H_119,AR,H,119
AR_H_126,AR,H,126
AR_H_133,AR,H,133
AR_H_140,AR,H,140
AR_H_147,AR,H,147
AR_H_154,AR,H,154
AR_H_161,AR,H,161
AR_H_168,AR,H,168
AR_J,AR,J,
AR_J_007,AR,J,007
AR_J_014,AR,J,014
AR_J_021,AR,J,021
AR_J_028,AR,J,028
AR_J_035,AR,J,035
AR_J_042,AR,J,042
AR_J_049,AR,J,049
AR_J_056,AR,J,056
AR_J_063,AR,J,063
AR_J_070,AR,J,070
AR_J_077,AR,J,077
AR_J_084,AR,J,084
AR_J_091,AR,J,091
AR_J_098,AR,J,098
AR_J_105,AR,J,105
AR_J_112,AR,J,112
AR_J_119,AR,J,119
AR_J_126,AR,J,126
AR_J_133,AR,J,133
AR_K,AR,K,
AR_K_007,AR,K,007
AR_K_014,AR,K,014
AR_K_021,AR,K,021
AR_K_028,AR,K,028
AR_K_035,AR,K,035
AR_K_042,AR,K,042
AR_K_049,AR,K,049
AR_K_056,AR,K,056
AR_K_063,AR,K,063
AR_K_070,AR,K,070
AR_K_077,AR,K,077
AR_K_084,AR,K,084
AR_K_091,AR,K,091
AR_K_098,AR,K,098
AR_K_105,AR,K,105
AR_K_112,AR,K,112
AR_L,AR,L,
AR_L_007,AR,L,007
AR_L_014,AR,L,014
AR_L_021,AR,L,021
AR_L_028,AR,L,028
AR_L_035,AR,L,035
AR_L_042,AR,L,042
AR_L_049,AR,L,049
AR_L_056,AR,L,056
AR_L_070,AR,L,070
AR_L_077,AR,L,077
AR_L_098,AR,L,098
AR_L_105,AR,L,105
AR_L_112,AR,L,112
AR_L_119,AR,L,119
AR_L_126,AR,L,126
AR_L_133,AR,L,133
AR_L_140,AR,L,140
AR_L_147,AR,L,147
AR_L_154,AR,L,154
AR_M,AR,M,
AR_M_007,AR,M,007
AR_M_014,AR,M,014
AR_M_021,AR,M,021
AR_M_028,AR,M,028
AR_M_035,AR,M,035
AR_M_042,AR,M,042
AR_M_049,AR,M,049
AR_M_056,AR,M,056
AR_M_063,AR,M,063
AR_M_070,AR,M,070
AR_M_077,AR,M,077
AR_M_084,AR,M,084
AR_M_091,AR,M,091
AR_M_098,AR,M,098
AR_M_105,AR,M,105
AR_M_112,AR,M,112
AR_M_119,AR,M,119
AR_M_126,AR,M,126
AR_N,AR,N,
AR_N_007,AR,N,007
AR_N_014,AR,N,014
AR_N_021,AR,N,021
AR_N_028,AR,N,028
AR_N_035,AR,N,035
AR_N_042,AR,N,042
AR_N_049,AR,N,049
AR_N_056,AR,N,056
AR_N_063,AR,N,063
AR_N_070,AR,N,070
AR_N_077,AR,N,077
AR_N_084,AR,N,084
AR_N_091,AR,N,091
AR_N_098,AR,N,098
AR_N_105,AR,N,105
AR_N_112,AR,N,112
AR_N_119,AR,N,119
AR_P,AR,P,
AR_P_007,AR,P,007
AR_P_014,AR,P,014
AR_P_021,AR,P,021
AR_P_028,AR,P,028
AR_P_035,AR,P,035
AR_P_042,AR,P,042
AR_P_049,AR,P,049
AR_P_056,AR,P,056
AR_P_063,AR,P,063
AR_Q,AR,Q,
AR_Q_007,AR,Q,007
AR_Q_014,AR,Q,014
AR_Q_021,AR,Q,021
AR_Q_028,AR,Q,028
AR_Q_035,AR,Q,035
AR_Q_042,AR,Q,042
AR_Q_049,AR,Q,049
AR_Q_056,AR,Q,056
AR_Q_063,AR,Q,063
AR_Q_070,AR,Q,070
AR_Q_077,AR,Q,077
AR_Q_084,AR,Q,084
AR_Q_091,AR,Q,091
AR_Q_098,AR,Q,098
AR_Q_105,AR,Q,105
AR_Q_112,AR,Q,112
AR_R,AR,R,
AR_R_007,AR,R,007
AR_R_014,AR,R,014
AR_R_021,AR,R,021
AR_R_028,AR,R,028
AR_R_035,AR,R,035
AR_R_042,AR,R,042
AR_R_049,AR,R,049
AR_R_063,AR,R,063
AR_R_070,AR,R,070
AR_R_077,AR,R,077
AR_R_084,AR,R,084
AR_R_091,AR,R,091
AR_S,AR,S,
AR_S_007,AR,S,007
AR_S_014,AR,S,014
AR_S_021,AR,S,021
AR_S_028,AR,S,028
AR_S_035,AR,S,035
AR_S_042,AR,S,042
AR_S_049,AR,S,049
AR_S_056,AR,S,056
AR_S_063,AR,S,063
AR_S_070,AR,S,070
AR_S_077,AR,S,077
AR_S_084,AR,S,084
AR_S_091,AR,S,091
AR_S_098,AR,S,098
AR_S_105,AR,S,105
AR_S_112,AR,S,112
AR_S_119,AR,S,119
AR_S_126,AR,S,126
AR_S_133,AR,S,133
AR_T,AR,T,
AR_T_007,AR,T,007
AR_T_014,AR,T,014
AR_T_021,AR,T,021
AR_T_028,AR,T,028
AR_T_035,AR,T,035
AR_T_042,AR,T,042
AR_T_049,AR,T,049
AR_T_056,AR,T,056
AR_T_063,AR,T,063
AR_T_070,AR,T,070
AR_T_077,AR,T,077
AR_T_084,AR,T,084
AR_T_091,AR,T,091
AR_T_098,AR,T,098
AR_T_105,AR,T,105
AR_T_112,AR,T,112
AR_T_119,AR,T,119
AR_U,AR,U,
AR_U_007,AR,U,007
AR_U_014,AR,U,014
AR_U_021,AR,U,021
AR_U_028,AR,U,028
AR_U_035,AR,U,035
AR_U_042,AR,U,042
AR_U_070,AR,U,070
AR_U_077,AR,U,077
AR_U_084,AR,U,084
AR_U_091,AR,U,091
AR_U_098,AR,U,098
AR_U_105,AR,U,105
AR_V,AR,V,
AR_V_007,AR,V,007
AR_V_014,AR,V,014
AR_V_028,AR,V,028
AR_W,AR,W,
AR_W_007,AR,W,007
AR_W_014,AR,W,014
AR_W_021,AR,W,021
AR_W_028,AR,W,028
