date,total_confirmed
2020-05-26,88648.0
2020-06-16,129963.0
2021-03-04,397407.0
2021-05-07,784443.0
2021-05-23,444438.0
2021-06-13,301282.0
2021-09-02,924612.0
2022-03-18,2135917.0
2020-04-27,86265.0
2020-05-11,80726.0
2020-06-21,126294.0
2020-07-30,319806.0
2020-08-29,284414.0
2020-12-10,800495.0
2021-02-08,418073.0
2022-03-01,2422323.0
2020-06-11,132723.0
2020-07-28,258252.0
2020-09-07,251898.0
2020-12-19,659812.0
2021-02-25,378798.0
2021-07-17,591454.0
2021-08-21,794264.0
2021-10-01,520226.0
2020-05-16,100284.0
2020-09-16,356090.0
2020-11-27,759217.0
2021-03-05,387144.0
2021-06-24,393995.0
2021-08-12,878123.0
2021-11-10,611087.0
2020-07-11,192021.0
2020-10-31,513517.0
2020-12-04,767672.0
2021-08-13,793780.0
2020-08-09,221604.0
2020-09-25,379077.0
2020-10-16,422900.0
2020-11-12,657410.0
2021-05-21,565267.0
2021-07-16,554052.0
2022-01-17,3751778.0
2021-08-26,893914.0
2021-09-17,641900.0
2021-05-13,664110.0
2021-12-24,1013955.0
2020-05-10,76849.0
2020-08-10,284171.0
2020-08-16,244503.0
2021-02-27,378230.0
2021-04-12,725255.0
2021-08-15,761987.0
2021-08-22,649774.0
2021-11-14,418410.0
2021-11-25,892988.0
2020-10-17,461896.0
2022-02-22,1883659.0
2022-03-17,2614550.0
2020-10-01,388899.0
2021-02-15,330747.0
2021-02-26,406481.0
2021-06-22,347821.0
2020-06-25,168715.0
2020-10-18,358397.0
2021-01-24,433626.0
2021-03-07,364353.0
2020-07-13,200890.0
2021-01-06,748607.0
2021-02-03,484228.0
2021-05-10,803856.0
2021-06-01,398815.0
2021-10-07,615802.0
2021-10-25,666807.0
2021-11-20,729049.0
2022-02-11,3096361.0
2020-04-14,98033.0
2020-06-14,106950.0
2020-06-19,137525.0
2021-03-17,548004.0
2021-07-13,667729.0
2021-11-05,611438.0
2022-03-31,786925.0
2021-04-08,884420.0
2021-04-11,605672.0
2021-06-18,324051.0
2020-06-26,234240.0
2020-09-11,338485.0
2021-05-05,862469.0
2021-07-06,485485.0
2021-01-31,424530.0
2021-05-03,791113.0
2021-08-09,831200.0
2021-11-02,762262.0
2020-06-20,150911.0
2020-06-23,160961.0
2020-09-01,327498.0
2021-01-17,518645.0
2021-02-12,424330.0
2021-07-20,644884.0
2021-12-20,858738.0
2021-03-23,581339.0
2021-07-18,600215.0
2021-10-08,534991.0
2020-12-21,614280.0
2020-12-30,726730.0
2021-08-19,870985.0
2020-05-25,87494.0
2020-08-19,366896.0
2021-07-10,477976.0
2021-07-31,591339.0
2021-10-11,527237.0
2021-10-20,547450.0
2022-01-14,3697909.0
2020-07-05,186759.0
2020-07-09,251963.0
2020-09-02,366630.0
2020-11-24,650490.0
2020-12-17,843223.0
2021-04-03,549992.0
2021-04-23,827823.0
2021-08-04,898259.0
2021-11-19,620184.0
2021-12-02,962030.0
2021-12-27,1749763.0
2021-12-30,2237788.0
2020-04-17,96501.0
2020-09-04,336307.0
2020-09-26,326374.0
2021-06-23,351565.0
2021-06-26,333986.0
2021-08-05,858764.0
2020-08-13,337750.0
2020-12-03,731728.0
2021-03-13,418018.0
2021-04-09,693977.0
2021-07-14,633649.0
2022-02-09,2678877.0
2020-08-18,307184.0
2020-08-28,314160.0
2020-11-16,543152.0
2020-12-16,902907.0
2021-03-29,476665.0
2021-05-27,481970.0
2021-10-27,694797.0
2021-10-28,616844.0
2020-04-13,78296.0
2020-12-31,632690.0
2021-01-05,809301.0
2022-02-14,1974120.0
2020-04-25,77456.0
2020-05-05,67044.0
2020-11-21,692125.0
2021-05-04,871387.0
2021-05-18,663366.0
2021-07-08,480781.0
2021-07-28,798550.0
2021-10-05,644687.0
2021-10-16,479164.0
2022-01-28,3881894.0
2020-05-01,94377.0
2020-05-06,88613.0
2021-05-31,390431.0
2020-10-22,563345.0
2020-12-13,600986.0
2021-01-09,699457.0
2021-03-02,408493.0
2021-04-05,532587.0
2021-05-01,763485.0
2021-06-10,353135.0
2020-12-02,786824.0
2021-04-22,899597.0
2022-01-11,4117219.0
2020-06-04,119217.0
2020-08-11,336642.0
2021-03-15,410287.0
2020-07-10,278269.0
2021-04-21,908907.0
2021-06-30,395116.0
2021-07-07,459401.0
2022-02-07,2647038.0
2021-04-04,560696.0
2021-11-24,756081.0
2021-09-23,624496.0
2022-03-29,2141578.0
2020-12-23,747947.0
2021-10-15,493307.0
2022-02-16,3188356.0
2020-12-05,762900.0
2021-11-06,563706.0
2022-03-22,2439859.0
2021-02-20,369590.0
2021-05-25,514816.0
2020-06-13,131831.0
2021-10-14,608306.0
2022-01-02,1473227.0
2020-08-08,293827.0
2021-11-11,663097.0
2020-05-31,103297.0
2020-06-12,128809.0
2020-09-12,358215.0
2020-10-05,357384.0
2020-10-21,560899.0
2021-01-08,981441.0
2021-01-14,679124.0
2021-04-06,615371.0
2021-05-16,510301.0
2021-12-08,701798.0
2022-02-12,2375535.0
2020-07-07,190896.0
2021-03-03,389613.0
2021-07-09,459224.0
2021-08-03,781302.0
2021-09-05,617884.0
2022-03-15,2510802.0
2021-03-09,443653.0
2021-11-04,575874.0
2022-01-21,4262204.0
2020-06-06,106926.0
2020-08-15,305445.0
2020-09-10,345759.0
2021-01-20,732974.0
2021-01-21,629777.0
2021-02-04,520708.0
2022-03-16,3338911.0
2021-01-26,638394.0
2021-06-05,336779.0
2021-08-29,659563.0
2021-11-17,626512.0
2021-12-18,706661.0
2022-01-12,4086060.0
2020-10-06,421255.0
2021-10-17,585183.0
2021-12-16,744141.0
2020-12-14,635755.0
2021-02-21,329866.0
2021-12-05,587082.0
2021-02-09,420641.0
2021-05-08,733535.0
2021-05-15,549075.0
2021-07-01,423978.0
2021-10-21,517319.0
2021-10-24,499940.0
2022-01-15,3127479.0
2020-04-15,95102.0
2020-11-02,546606.0
2021-08-24,796708.0
2022-03-28,1670768.0
2021-04-28,1015956.0
2021-10-12,514531.0
2022-01-19,4906235.0
2021-12-28,1735062.0
2022-01-20,3889203.0
2020-09-03,311859.0
2020-04-08,102009.0
2020-06-18,144142.0
2020-07-04,185209.0
2021-04-24,841259.0
2021-05-02,632434.0
2021-08-06,727971.0
2021-11-01,592365.0
2022-02-04,2681200.0
2022-03-10,2664064.0
2022-03-24,2310433.0
2022-03-27,1650985.0
2021-04-14,896052.0
2021-04-20,880227.0
2022-01-08,2582228.0
2020-04-28,83450.0
2020-10-15,509482.0
2020-11-13,775583.0
2021-03-10,468561.0
2021-03-22,460154.0
2021-09-14,677569.0
2022-01-04,3051668.0
2022-03-12,2580058.0
2021-10-03,507959.0
2020-12-08,698689.0
2021-01-25,549197.0
2021-03-14,392638.0
2021-07-11,429972.0
2020-12-06,513841.0
2020-04-21,85401.0
2020-07-20,216891.0
2021-02-17,384611.0
2021-03-19,557854.0
2021-06-20,289227.0
2021-12-14,885647.0
2020-06-15,113177.0
2020-09-19,316637.0
2021-01-02,625132.0
2021-05-19,680286.0
2021-11-30,800427.0
2021-12-06,737079.0
2021-04-25,766702.0
2021-05-20,586952.0
2020-08-05,280756.0
2020-10-14,405279.0
2020-11-08,512772.0
2021-03-01,299186.0
2021-10-29,737005.0
2022-01-05,3181739.0
2022-03-23,1881485.0
2022-02-19,1769697.0
2022-03-04,2154936.0
2021-03-30,668083.0
2021-01-16,645456.0
2021-10-09,418701.0
2020-07-27,229416.0
2020-08-04,292124.0
2021-06-19,291787.0
2021-11-09,597291.0
2022-03-30,2355963.0
2021-06-02,449195.0
2020-11-23,559789.0
2021-06-07,353992.0
2021-08-28,798139.0
2021-10-18,524255.0
2020-04-10,99947.0
2020-04-16,100082.0
2020-05-08,93105.0
2021-06-25,386640.0
2021-12-09,950682.0
2022-03-11,2262758.0
2021-09-03,760996.0
2021-10-10,424881.0
2021-10-30,430215.0
2021-12-22,1051635.0
2022-01-01,1630692.0
2022-02-15,2454334.0
2022-02-23,2863672.0
2020-04-29,80013.0
2021-01-03,645789.0
2021-02-02,479103.0
2022-02-03,3979356.0
2021-01-10,628191.0
2021-07-29,673708.0
2021-12-13,1066522.0
2022-01-18,4063756.0
2021-02-05,455048.0
2021-09-12,561541.0
2021-11-12,662651.0
2020-08-12,337315.0
2020-10-30,662282.0
2020-11-22,545474.0
2021-06-17,345621.0
2021-02-14,280886.0
2020-07-25,228957.0
2021-02-06,382732.0
2021-06-08,368219.0
2021-11-21,605017.0
2020-06-02,106049.0
2020-10-26,530357.0
2021-08-08,596957.0
2020-05-24,83970.0
2021-09-09,683926.0
2021-03-28,428974.0
2021-09-22,717161.0
2021-08-25,842196.0
2020-03-13,15881.0
2020-08-22,302043.0
2021-08-02,847880.0
2021-09-30,631644.0
2022-03-03,1918420.0
2021-08-27,753469.0
2021-07-22,698587.0
2022-02-01,4380549.0
2020-07-19,197929.0
2020-09-29,349806.0
2020-12-24,639354.0
2021-06-16,367562.0
2021-09-13,533882.0
2021-09-28,546823.0
2020-10-11,315375.0
2020-10-20,512417.0
2020-11-04,795240.0
2020-12-22,675201.0
2021-02-18,417110.0
2021-08-31,689339.0
2020-08-24,292587.0
2020-05-23,103123.0
2021-04-19,745650.0
2021-08-23,792401.0
2021-10-26,647884.0
2022-01-23,3305708.0
2022-01-30,2586191.0
2020-05-18,92344.0
2021-09-15,687503.0
2021-11-28,603164.0
2021-12-11,640853.0
2022-01-07,2955042.0
2020-09-27,283710.0
2020-10-10,362711.0
2021-04-15,848521.0
2021-05-28,458968.0
2021-08-17,789804.0
2020-07-02,236729.0
2020-12-18,852252.0
2021-09-06,627875.0
2021-09-27,510520.0
2021-12-31,2297908.0
2020-10-19,518718.0
2021-08-07,728124.0
2021-12-17,899659.0
2021-12-26,740194.0
2020-05-21,118889.0
2020-08-03,250879.0
2022-02-06,3096147.0
2021-05-17,576985.0
2021-07-05,389172.0
2021-08-11,740126.0
2020-10-08,425469.0
2020-05-02,89977.0
2021-04-01,630597.0
2021-10-23,497423.0
2021-11-13,614483.0
2021-07-15,574021.0
2020-06-03,103161.0
2020-10-04,282423.0
2020-05-20,97124.0
2020-06-29,157837.0
2020-08-26,263787.0
2022-01-29,3294860.0
2020-07-26,223169.0
2022-02-02,3167210.0
2022-03-06,1334258.0
2020-11-25,771105.0
2021-01-29,614200.0
2021-09-29,512351.0
2020-07-17,266516.0
2021-04-29,903351.0
2021-06-12,330499.0
2021-10-02,425426.0
2020-08-31,296638.0
2020-10-25,435318.0
2021-06-14,344657.0
2022-01-26,4964714.0
2020-05-17,77481.0
2020-07-23,247753.0
2022-03-08,3865097.0
2021-02-24,394803.0
2020-07-01,239088.0
2020-07-12,205970.0
2020-08-17,268295.0
2020-08-30,216812.0
2020-05-22,99341.0
2021-02-22,381761.0
2020-09-20,260995.0
2022-01-31,3157274.0
2020-07-31,303928.0
2021-03-06,343550.0
2021-09-08,657147.0
2020-09-17,398715.0
2022-01-03,2610428.0
2021-03-31,682399.0
2020-04-20,75266.0
2020-08-23,235444.0
2021-06-03,392791.0
2021-01-01,626116.0
2021-12-19,619424.0
2021-06-21,313503.0
2022-02-26,1354961.0
2020-04-19,65151.0
2020-05-30,96895.0
2021-12-25,957254.0
2020-12-29,691990.0
2021-02-01,453444.0
2021-05-29,429521.0
2020-10-29,630572.0
2021-03-27,560570.0
2021-01-15,827178.0
2020-11-05,640653.0
2021-09-07,739340.0
2020-06-28,168383.0
2021-07-24,725448.0
2021-07-26,732498.0
2020-08-01,260159.0
2020-09-13,244923.0
2021-07-12,603994.0
2021-07-25,572363.0
2021-11-22,865776.0
2021-11-26,664484.0
2020-05-12,86472.0
2020-06-17,141612.0
2021-03-11,437859.0
2021-07-23,711984.0
2020-09-05,287888.0
2020-03-30,112653.0
2020-12-12,678885.0
2022-02-28,1533142.0
2020-11-06,740790.0
2021-02-23,448774.0
2021-05-24,530126.0
