date,total_confirmed
2020-01-01,9.0
2020-01-02,74.0
2020-01-03,8.0
2020-01-04,7.0
2020-01-05,8.0
2020-01-06,4.0
2020-01-07,10.0
2020-01-08,6.0
2020-01-09,8.0
2020-01-10,9.0
2020-01-11,4.0
2020-01-12,6.0
2020-01-13,9.0
2020-01-15,10.0
2020-01-16,7.0
2020-01-17,5.0
2020-01-18,5.0
2020-01-19,5.0
2020-01-20,10.0
2020-01-21,16.0
2020-01-22,6.0
2020-01-26,6.0
2020-01-27,13.0
2020-01-28,9.0
2020-01-29,17.0
2020-01-30,20.0
2020-01-31,14.0
2020-02-01,11.0
2020-02-02,15.0
2020-02-03,23.0
2020-02-04,16.0
2020-02-05,11.0
2020-02-06,22.0
2020-02-07,28.0
2020-02-09,17.0
2020-02-10,24.0
2020-02-11,28.0
2020-02-12,20.0
2020-02-13,23.0
2020-02-14,19.0
2020-02-15,13.0
2020-02-17,31.0
2020-02-18,30.0
2020-02-19,39.0
2020-02-20,42.0
2020-02-24,62.0
2020-02-25,58.0
2020-02-26,83.0
2020-02-27,72.0
2020-02-28,74.0
2020-02-29,68.0
2020-03-01,89.0
2020-03-02,164.0
2020-03-03,185.0
2020-03-04,209.0
2020-03-05,272.0
2020-03-06,316.0
2020-03-07,329.0
2020-03-08,389.0
2020-03-09,678.0
2020-03-10,812.0
2020-03-11,1079.0
2020-03-12,1274.0
2020-03-13,1378.0
2020-03-14,1512.0
2020-03-15,1736.0
2020-03-16,2644.0
2020-03-17,3121.0
2020-03-18,3899.0
2020-03-19,6483.0
2020-03-20,6465.0
2020-03-21,6584.0
2020-03-22,6178.0
2020-03-23,10112.0
2020-03-24,11746.0
2020-03-25,13488.0
2020-03-26,12928.0
2020-03-27,13405.0
2020-03-28,12069.0
2020-03-29,10799.0
2020-03-30,13917.0
2020-03-31,14815.0
2020-04-01,15427.0
2020-04-02,14507.0
2020-04-03,13425.0
2020-04-04,11822.0
2020-04-05,9551.0
2020-04-06,11961.0
2020-04-07,11786.0
2020-04-08,12385.0
2020-04-09,10950.0
2020-04-10,11542.0
2020-04-11,8990.0
2020-04-12,7489.0
2020-04-13,10220.0
2020-04-14,9983.0
2020-04-15,9706.0
2020-04-16,9595.0
2020-04-17,9568.0
2020-04-18,7859.0
2020-04-19,6239.0
2020-04-20,8719.0
2020-04-21,8842.0
2020-04-22,9386.0
2020-04-23,8826.0
2020-04-24,8931.0
2020-04-25,7065.0
2020-04-26,6207.0
2020-04-27,9164.0
