date,total_confirmed
2020-01-01,383.0
2020-01-02,922.0
2020-01-03,481.0
2020-01-04,1858.0
2020-01-05,1100.0
2020-01-06,830.0
2020-01-07,611.0
2020-01-08,443.0
2020-01-09,175.0
2020-01-10,117.0
2020-01-11,230.0
2020-01-12,326.0
2020-01-13,199.0
2020-01-14,150.0
2020-01-15,145.0
2020-01-16,72.0
2020-01-17,153.0
2020-01-18,219.0
2020-01-19,207.0
2020-01-20,317.0
2020-01-21,239.0
2020-01-22,392.0
2020-01-23,536.0
2020-01-24,747.0
2020-01-25,905.0
2020-01-26,1854.0
2020-01-27,1603.0
2020-01-28,1856.0
2020-01-29,2093.0
2020-01-30,2225.0
2020-01-31,2782.0
2020-02-01,3080.0
2020-02-02,3418.0
2020-02-03,4046.0
2020-02-04,4014.0
2020-02-05,3247.0
2020-02-06,3489.0
2020-02-07,2746.0
2020-02-08,3106.0
2020-02-09,2586.0
2020-02-10,2152.0
2020-02-11,15276.0
2020-02-12,4222.0
2020-02-13,2721.0
2020-02-14,2112.0
2020-02-15,2191.0
2020-02-16,2020.0
2020-02-17,1939.0
2020-02-18,565.0
2020-02-19,1200.0
2020-02-20,1142.0
2020-02-21,1003.0
2020-02-22,651.0
2020-02-23,866.0
2020-02-24,1090.0
2020-02-25,1082.0
2020-02-26,1228.0
2020-02-27,1746.0
2020-02-28,1828.0
2020-02-29,1355.0
2020-03-01,2515.0
2020-03-02,2788.0
2020-03-03,2200.0
2020-03-04,3337.0
2020-03-05,3700.0
2020-03-06,3438.0
2020-03-07,3577.0
2020-03-08,4553.0
2020-03-09,6609.0
2020-03-10,6409.0
2020-03-11,9461.0
2020-03-12,11287.0
2020-03-13,11567.0
2020-03-14,12249.0
2020-03-15,14379.0
2020-03-16,16993.0
2020-03-17,19150.0
2020-03-18,27728.0
2020-03-19,28528.0
2020-03-20,31513.0
2020-03-21,31128.0
2020-03-22,34716.0
2020-03-23,42384.0
2020-03-24,48190.0
2020-03-25,52899.0
2020-03-26,62146.0
2020-03-27,60756.0
2020-03-28,58401.0
2020-03-29,59172.0
2020-03-30,57957.0
2020-03-31,73084.0
2020-04-01,72109.0
2020-04-02,72614.0
2020-04-03,74821.0
2020-04-04,70246.0
2020-04-05,59434.0
2020-04-06,70631.0
2020-04-07,74102.0
2020-04-08,80563.0
2020-04-09,82675.0
2020-04-10,77358.0
2020-04-11,72700.0
2020-04-12,63451.0
2020-04-13,63958.0
2020-04-14,72334.0
2020-04-15,71662.0
2020-04-16,81406.0
2020-04-17,77311.0
2020-04-18,73856.0
2020-04-19,63641.0
2020-04-20,70799.0
2020-04-21,72198.0
2020-04-22,76156.0
2020-04-23,89792.0
2020-04-24,79825.0
2020-04-25,72884.0
2020-04-26,62937.0
2020-04-27,69353.0
2020-04-28,68096.0
2020-04-29,72018.0
2020-04-30,78645.0
2020-05-01,77309.0
2020-05-02,75159.0
2020-05-03,72431.0
2020-05-04,70496.0
2020-05-05,70358.0
2020-05-06,80999.0
2020-05-07,82938.0
2020-05-08,79566.0
2020-05-09,74369.0
2020-05-10,67253.0
2020-05-11,73674.0
2020-05-12,77114.0
2020-05-13,74468.0
2020-05-14,89028.0
2020-05-15,83003.0
2020-05-16,79798.0
2020-05-17,68158.0
