date,location_key,new_confirmed
2020-04-20,DK,200
2020-06-17,DK,45
2021-08-05,DK,914
2021-08-08,DK,1097
2021-11-01,DK,2342
2022-02-25,DK,17359
2020-04-04,DO,0
2020-04-26,DO,158
2020-05-02,DO,376
2020-06-04,DO,389
2020-06-13,DO,390
2020-12-11,DO,1133
2020-04-12,EC,63
2020-06-28,EC,410
2020-12-02,EC,1008
2020-12-14,EC,176
2021-01-13,EC,1687
2021-02-16,EC,146
2021-03-15,EC,356
2021-08-18,EC,438
2021-08-21,EC,64
2021-12-01,EC,355
2022-01-25,EC,0
2020-04-20,EE,17
2020-04-22,EE,33
2020-08-16,EE,2
2021-01-25,EE,357
2021-07-30,EE,247
2021-12-02,EE,507
2022-02-17,EE,6727
2022-02-24,EE,5012
2020-12-05,ET,555
2020-12-15,ET,0
2021-01-29,ET,656
2021-05-07,ET,637
2020-04-07,FI,132
2020-04-10,FI,164
2020-07-03,FI,1
2020-08-24,FI,18
2020-09-24,FI,91
2020-11-15,FI,213
2021-01-24,FI,246
2021-02-06,FI,368
2021-04-09,FI,419
2021-07-10,FI,293
2021-09-02,FI,683
2021-10-30,FI,0
2021-09-17,FJ,132
2021-10-03,FJ,34
2021-10-05,FJ,49
2020-10-11,FR,16101
2020-11-17,FR,45522
2021-11-16,FR,19778
2022-01-14,FR,329371
2022-02-18,FR,82553
2020-04-29,GB,5433
2020-06-02,GB,1492
2020-08-30,GB,1171
2020-11-29,GB,10874
2021-04-18,GB,2584
2021-07-01,GB,28794
2020-04-21,AE,483
2020-04-27,AE,541
2020-05-31,AE,635
2020-06-25,AE,410
2020-08-29,AE,362
2021-01-09,AE,2876
2021-09-05,AE,977
2022-02-02,AE,2232
2020-06-10,AL,31
2020-07-16,AL,0
2020-07-28,AL,108
2020-08-07,AL,124
2021-02-13,AL,1088
2020-09-11,AM,187
2021-04-26,AM,808
2021-06-02,AM,72
2021-07-11,AM,138
2021-07-24,AM,112
2020-10-16,AR,18462
2020-10-25,AR,6548
2020-11-01,AR,5676
2021-12-03,AR,2229
2022-01-14,AR,134292
2020-09-28,AT,739
2020-10-02,AT,1014
2021-08-30,AT,1280
2021-10-19,AT,3983
2020-04-08,AU,105
2020-10-19,AU,8
2021-01-18,AU,13
2021-01-19,AU,11
2021-08-28,AU,1133
2021-09-17,AU,1830
2021-09-21,AU,1643
2021-11-08,AU,1326
2021-11-18,AU,1301
2022-01-12,AU,103689
2022-02-11,AU,27129
2021-07-08,AZ,174
2021-11-01,AZ,2178
2020-12-20,BA,216
2021-11-18,BA,721
2020-09-11,BD,1476
2020-10-22,BD,1094
2021-04-05,BD,7626
2021-02-06,GE,204
2021-02-10,GE,507
2021-02-28,GE,461
2021-07-11,GE,1863
2022-02-08,GE,22444
2020-06-12,GH,262
2020-08-10,GH,192
2020-11-24,GH,41
2021-08-23,GH,423
2020-03-31,GR,101
2020-04-09,GR,56
2020-05-28,GR,5
2020-12-02,GR,1882
2021-05-30,GR,1007
2021-06-15,GR,549
2022-01-27,GR,22361
2022-02-14,GR,21412
2020-07-15,GT,1202
2021-01-14,GT,623
2021-08-06,GT,3998
2021-10-15,GT,1369
2022-02-14,GT,858
2020-10-04,GU,53
2020-11-22,GU,53
2020-12-10,GU,27
2022-01-22,GU,0
2022-02-03,GU,0
2020-05-27,HR,1
2020-06-02,HR,0
2020-11-21,HR,3308
2021-01-22,HR,599
2021-07-10,HR,58
2021-10-20,HR,3053
2020-06-14,HU,1
2020-09-16,HU,941
2020-11-04,HU,4709
2021-01-29,HU,1307
2021-03-10,HU,9011
2022-02-17,HU,0
2021-03-28,ID,4083
2021-04-23,ID,5436
2021-06-13,ID,9868
2021-10-18,ID,626
2020-07-13,IE,32
2020-10-02,IE,604
2020-11-01,IE,747
2021-05-08,IE,514
2022-02-01,IE,5277
2020-06-16,IL,268
2020-06-21,IL,344
2020-12-31,IL,6011
2021-10-23,IL,842
2020-04-03,BE,1694
2020-06-03,BE,159
2020-09-09,BE,1024
2020-11-01,BE,2661
2020-11-13,BE,5696
2021-01-06,BE,2302
2021-11-08,BE,15267
2021-12-14,BE,10583
2020-05-26,BG,0
2020-06-23,BG,128
2020-08-01,BG,119
2020-09-26,BG,58
2020-09-27,BG,216
2020-10-13,BG,819
2021-01-21,BG,566
2021-06-27,BG,115
2021-04-29,BH,1182
2021-06-29,BH,184
2021-07-15,BH,108
2020-08-03,BO,1693
2020-09-15,BO,667
2020-09-23,BO,537
2020-09-26,BO,370
2021-07-23,BO,1025
2021-08-01,BO,393
2021-08-19,BO,738
2022-03-04,BO,351
2022-03-08,BO,661
2020-06-28,BR,30476
2021-01-13,BR,0
2021-04-30,BR,0
2021-05-29,BR,0
2020-06-13,IN,11502
2021-04-13,IN,200739
2021-07-08,IN,42766
2021-09-08,IN,34973
2022-01-25,IN,286384
2020-05-10,IQ,51
2021-05-06,IQ,5763
2021-06-10,IQ,4320
2021-12-16,IQ,357
2020-11-07,IR,9236
2021-10-26,IR,10644
2022-02-26,IR,9524
2021-12-30,IS,1597
2022-01-20,IS,1670
2022-02-26,IS,1746
2020-03-24,IT,5249
