date,total_confirmed
2020-05-26,3666.0
2020-06-16,4069.0
2021-03-04,7491.0
2021-05-07,11570.0
2021-05-23,8553.0
2021-06-13,7111.0
2021-09-02,9814.0
2022-03-18,4837.0
2020-04-27,4793.0
2020-05-11,4033.0
2020-06-21,3586.0
2020-07-30,6964.0
2020-08-29,5587.0
2020-12-10,12199.0
2021-02-08,10356.0
2022-03-01,7526.0
2020-06-11,4284.0
2020-07-28,5569.0
2020-09-07,4802.0
2020-12-19,10730.0
2021-02-25,9016.0
2021-07-17,6750.0
2021-08-21,11076.0
2021-10-01,7459.0
2020-05-16,3846.0
2020-09-16,6205.0
2020-11-27,10408.0
2021-03-05,7504.0
2021-06-24,6418.0
2021-08-12,10511.0
2021-11-10,7874.0
2020-07-11,4628.0
2020-10-31,6903.0
2020-12-04,11376.0
2021-08-13,10093.0
2020-08-09,5571.0
2020-09-25,5616.0
2020-10-16,6225.0
2020-11-12,9907.0
2021-05-21,10024.0
2021-07-16,6775.0
2022-01-17,7108.0
2021-08-26,10663.0
2021-09-17,8671.0
2021-05-13,10457.0
2021-12-24,5742.0
2020-05-10,3673.0
2020-08-10,5711.0
2020-08-16,5353.0
2021-02-27,6926.0
2021-04-12,9152.0
2021-08-15,8897.0
2021-08-22,8681.0
2021-11-14,5596.0
2021-11-25,6881.0
2020-10-17,5152.0
2022-02-22,9672.0
2022-03-17,5457.0
2020-10-01,5627.0
2021-02-15,8434.0
2021-02-26,8151.0
2021-06-22,6303.0
2020-06-25,4187.0
2020-10-18,5013.0
2021-01-24,11974.0
2021-03-07,5825.0
2020-07-13,4774.0
2021-01-06,13512.0
2021-02-03,12698.0
2021-05-10,11149.0
2021-06-01,8373.0
2021-10-07,7053.0
2021-10-25,6350.0
2021-11-20,6023.0
2022-02-11,11060.0
2020-04-14,6539.0
2020-06-14,3911.0
2020-06-19,4251.0
2021-03-17,7119.0
2021-07-13,6750.0
2021-11-05,7702.0
2022-03-31,2610.0
2021-04-08,9414.0
2021-04-11,7534.0
2021-06-18,6465.0
2020-06-26,5131.0
2020-09-11,5642.0
2021-05-05,11540.0
2021-07-06,6386.0
2021-01-31,10821.0
2021-05-03,10895.0
2021-08-09,9190.0
2021-11-02,7596.0
2020-06-20,4108.0
2020-06-23,4109.0
2020-09-01,6090.0
2021-01-17,12225.0
2021-02-12,9955.0
2021-07-20,6948.0
2021-12-20,6875.0
2021-03-23,7730.0
2021-07-18,6154.0
2021-10-08,7621.0
2020-12-21,11431.0
2020-12-30,12698.0
2021-08-19,10379.0
2020-05-25,3472.0
2020-08-19,6730.0
2021-07-10,6204.0
2021-07-31,8804.0
2021-10-11,5702.0
2021-10-20,7073.0
2022-01-14,8360.0
2020-07-05,4725.0
2020-07-09,5876.0
2020-09-02,6204.0
2020-11-24,11299.0
2020-12-17,13158.0
2021-04-03,7278.0
2021-04-23,11203.0
2021-08-04,10365.0
2021-11-19,7858.0
2021-12-02,7272.0
2021-12-27,6708.0
2021-12-30,6567.0
2020-04-17,7328.0
2020-09-04,5910.0
2020-09-26,5384.0
2021-06-23,6462.0
2021-06-26,6107.0
2021-08-05,10381.0
2020-08-13,6955.0
2020-12-03,12456.0
2021-03-13,6053.0
2021-04-09,9265.0
2021-07-14,6621.0
2022-02-09,11594.0
2020-08-18,6442.0
2020-08-28,5952.0
2020-11-16,8788.0
2020-12-16,13013.0
2021-03-29,7860.0
2021-05-27,9634.0
2021-10-27,8402.0
2021-10-28,7364.0
2020-04-13,5407.0
2020-12-31,11643.0
2021-01-05,13321.0
2022-02-14,10295.0
2020-04-25,4880.0
2020-05-05,5551.0
2020-11-21,9532.0
2021-05-04,11583.0
2021-05-18,11050.0
2021-07-08,7133.0
2021-07-28,10265.0
2021-10-05,7672.0
2021-10-16,5823.0
2022-01-28,11145.0
2020-05-01,5154.0
2020-05-06,5494.0
2021-05-31,8528.0
2020-10-22,6421.0
2020-12-13,9339.0
2021-01-09,11458.0
2021-03-02,7590.0
2021-04-05,7254.0
2021-05-01,10510.0
2021-06-10,9358.0
